"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"11693","Queens","2013","5","11","20","0","196","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","20","15","201","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","20","30","173","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","20","45","164","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","21","0","151","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","21","15","162","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","21","30","143","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","21","45","142","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","22","0","138","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","22","15","153","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","22","30","129","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","22","45","143","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","23","0","127","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","23","15","125","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","23","30","121","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","11","23","45","110","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","0","0","112","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","0","15","92","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","0","30","91","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","0","45","106","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","1","0","89","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
"11693","Queens","2013","5","12","1","15","67","172079","POINT (1060029.1 191032)","LINDEN BLVD","CROSS IS PKWY","CROSS IS PKWY","EB"
